class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
sit,-0.0121163,-0.2886329,-0.7455593,0.9999011,0.0012067,-0.3271089,-0.7233637,0.9998405,0.0017620,-0.3284492,-0.7225241,0.9998637,0.0012022,-0.3283349,-0.7233610,0.9998619,-0.0359544,-0.3257033,-0.7177354,0.9997698,-0.0369246,-0.3254865,-0.7201838,0.9997982,-0.0366398,-0.3268252,-0.7190663,0.9997429,0.0756695,-0.3221444,-0.5978845,0.9998158,-0.0974999,-0.3158278,-0.6002375,0.9995147,0.0142346,-0.2642260,-0.7051607,0.9998202,-0.0345944,-0.2606933,-0.7038085,0.9998313,0.1738025,-0.1864287,-0.4912178,0.9985169,-0.1980555,-0.1495425,-0.4958638,0.9956987,0.2875958,0.0071559,-0.5732968,0.9694905,-0.2176186,0.0359335,-0.4573466,0.9554978,0.4493412,0.1457741,-0.6728105,0.7246085,-0.1967218,0.1785810,-0.6035063,0.8695756,0.5008621,0.1640770,-0.7205274,0.6008530,-0.1844816,0.1875757,-0.6319663,0.7986456,0.4866240,0.1671829,-0.7530341,0.6397071,-0.1613599,0.1609458,-0.6360463,0.8201852,0.4512656,0.1595210,-0.6958842,0.6743180,-0.1785850,0.1740405,-0.6097780,0.8288948,0.1159092,-0.0041325,-0.0092696,0.9898782,-0.1168318,0.0028868,0.0104529,0.9863284,0.1144312,0.1420230,0.3161938,0.6404605,-0.1012343,0.1797377,0.3586565,0.5346696,0.0642243,0.2038996,0.7517546,0.1421513,-0.0394723,0.1779756,0.7502812,0.1830796,0.0670888,0.2202830,0.7920438,0.1614600,-0.0338835,0.1900401,0.7833871,0.1505421,0.0732904,0.2939881,0.6964141,0.1123216,-0.0139997,0.2418811,0.6878731,0.1476550
face,-0.0074197,-0.6058519,-0.2776917,0.9962069,0.0024782,-0.6436613,-0.2620480,0.9958208,0.0033700,-0.6432022,-0.2616069,0.9958566,0.0029870,-0.6438913,-0.2624817,0.9954058,-0.0288228,-0.6406323,-0.2608429,0.9959672,-0.0280764,-0.6409060,-0.2621820,0.9962243,-0.0288905,-0.6418430,-0.2626998,0.9962217,0.0514535,-0.6235799,-0.1580780,0.9957113,-0.0912059,-0.6192115,-0.1618857,0.9962976,0.0148539,-0.5790600,-0.2434346,0.9952663,-0.0265517,-0.5765163,-0.2418946,0.9962096,0.1578300,-0.4364668,-0.0840532,0.9277583,-0.1793406,-0.4341030,-0.1006568,0.9241251,0.2055291,-0.2687538,-0.1142245,0.0713060,-0.1934171,-0.2560195,-0.0991598,0.0740630,0.1711454,-0.1820561,-0.2452764,0.0155043,-0.1777572,-0.1965453,-0.2207815,0.0164747,0.1580567,-0.1364274,-0.2753404,0.0274490,-0.1581700,-0.1585877,-0.2515848,0.0288018,0.1396208,-0.1611722,-0.2931506,0.0409737,-0.1424150,-0.1880528,-0.2591182,0.0460371,0.1559085,-0.1775324,-0.2516187,0.0372199,-0.1617294,-0.1949389,-0.2298495,0.0428397,0.1442558,-0.0040429,0.0191718,0.0011687,-0.1441752,-0.0236383,-0.0132679,0.0009796,0.1738733,-0.0265068,-0.1391317,0.0062685,-0.0129379,-0.2422609,-0.2059042,0.0023010,0.2559329,0.2007266,0.0371249,0.0002671,0.0096516,0.0480786,-0.1189637,0.0001712,0.2402005,0.2728032,0.0926971,0.0001169,-0.0045254,0.1229104,-0.0433315,0.0002310,0.3665936,-0.1096802,-0.2646986,0.0004764,0.0204998,-0.1568709,-0.3923591,0.0009243
face,0.5084004,0.5695964,-1.1641613,0.9996557,0.5471231,0.4950957,-1.0816777,0.9993574,0.5691964,0.4979836,-1.0820452,0.9995642,0.5913086,0.5022473,-1.0823598,0.9994024,0.4705445,0.4937879,-1.0948708,0.9992842,0.4445260,0.4965781,-1.0938935,0.9994967,0.4217722,0.5019143,-1.0944457,0.9993198,0.6253854,0.5544851,-0.5614108,0.9995072,0.3946310,0.5488791,-0.5932495,0.9995911,0.5529646,0.6688435,-0.9676930,0.9995447,0.4670301,0.6702560,-0.9778444,0.9995828,0.7632836,0.9849517,-0.2242306,0.9962931,0.2473972,0.9571078,-0.4242316,0.9964077,0.8456459,1.4381750,-0.3035627,0.0585547,0.1270748,1.4205852,-0.5570625,0.2158217,0.8320965,1.7640727,-0.8632620,0.0168350,0.1480989,1.7450089,-1.3128986,0.0384802,0.8604604,1.8942083,-1.0199412,0.0241770,0.1193852,1.8776683,-1.5275637,0.0497512,0.8151375,1.8892269,-1.1267930,0.0419709,0.1785976,1.8752551,-1.6119484,0.0809045,0.7947871,1.8378332,-0.9382721,0.0413396,0.1955927,1.8209348,-1.3768055,0.0775294,0.6722039,1.8637626,-0.0148228,0.0006960,0.3173844,1.8501488,0.0219540,0.0006175,0.6564858,2.6444445,-0.1284828,0.0006740,0.3164197,2.6243544,-0.1056752,0.0002917,0.6582913,3.3572607,0.4947180,0.0000686,0.3350193,3.3403773,0.2401867,0.0000146,0.6670662,3.4735239,0.5108224,0.0000754,0.3296598,3.4572530,0.2433241,0.0000348,0.5975792,3.5729680,-0.2757642,0.0000872,0.3910616,3.5548956,-0.5885850,0.0000682
face,0.5051079,0.5675035,-1.3258996,0.9994669,0.5419628,0.4917024,-1.2341835,0.9991557,0.5649771,0.4948336,-1.2347357,0.9993720,0.5852947,0.4991289,-1.2349596,0.9991660,0.4658415,0.4920555,-1.2467602,0.9990846,0.4408835,0.4951843,-1.2464192,0.9993228,0.4200011,0.5004753,-1.2469893,0.9991246,0.6176694,0.5500648,-0.6714777,0.9993361,0.3944284,0.5486778,-0.7110304,0.9994246,0.5524997,0.6628742,-1.1150444,0.9993358,0.4657117,0.6613957,-1.1287795,0.9993926,0.7609604,0.9853286,-0.3833589,0.9908470,0.2470591,0.9545152,-0.4412054,0.9904944,0.8727335,1.3809879,-0.6183828,0.0570446,0.1299864,1.3848644,-0.6945011,0.2018249,0.8099360,1.5336850,-1.1641454,0.0168493,0.2092990,1.4971448,-1.4890043,0.0365965,0.8111423,1.6106354,-1.3078600,0.0243082,0.2201727,1.5707113,-1.6700007,0.0476937,0.7720224,1.5693456,-1.3318670,0.0415372,0.2480294,1.5243078,-1.6963059,0.0772592,0.7641343,1.5383849,-1.1993258,0.0409503,0.2479765,1.4955198,-1.5285969,0.0741901,0.6727290,1.8895317,-0.0569134,0.0007308,0.3201504,1.8914663,0.0626637,0.0006444,0.6674151,2.6490729,-0.0221167,0.0009478,0.3429241,2.6388171,0.0579920,0.0004100,0.6810192,3.3487551,0.7345210,0.0000930,0.3694613,3.3375814,0.5896490,0.0000222,0.6905531,3.4604897,0.7641575,0.0000844,0.3671043,3.4490631,0.6163188,0.0000475,0.6257370,3.5627813,-0.0033896,0.0001070,0.4215519,3.5485024,-0.1842017,0.0001009
face,0.5051528,0.5674440,-1.3503053,0.9993903,0.5416825,0.4909397,-1.2529401,0.9990348,0.5644988,0.4939265,-1.2535197,0.9992375,0.5841216,0.4977838,-1.2536435,0.9989963,0.4658318,0.4919649,-1.2672738,0.9989977,0.4408837,0.4951670,-1.2670075,0.9992458,0.4200031,0.5004739,-1.2677053,0.9990612,0.6158580,0.5480223,-0.6899167,0.9991698,0.3947405,0.5491465,-0.7373152,0.9993575,0.5528442,0.6613315,-1.1415821,0.9992204,0.4663457,0.6592262,-1.1572909,0.9993380,0.7606792,0.9858099,-0.3682731,0.9873339,0.2504548,0.9545274,-0.4771119,0.9888647,0.8832016,1.3821385,-0.4963666,0.0544290,0.1310144,1.4129174,-0.6694982,0.1946141,0.8361214,1.6080627,-1.0010909,0.0158758,0.2161920,1.5322539,-1.4337137,0.0352199,0.8428402,1.7106055,-1.1081140,0.0231537,0.2250636,1.6465865,-1.6280439,0.0462235,0.8030421,1.6884563,-1.1472228,0.0394108,0.2604770,1.6498500,-1.6780993,0.0748673,0.7927411,1.6470640,-1.0284877,0.0388628,0.2618572,1.6063277,-1.4843887,0.0718672,0.6799463,1.9040234,-0.0558764,0.0007346,0.3337337,1.9168469,0.0616225,0.0006541,0.6895875,2.6547809,-0.0440971,0.0011923,0.3758854,2.6552954,0.0076265,0.0005135,0.7133189,3.3487806,0.6568204,0.0001105,0.4112943,3.3411028,0.4652308,0.0000295,0.7217379,3.4607985,0.6817398,0.0000903,0.4093228,3.4526403,0.4845170,0.0000600,0.6667909,3.5623915,-0.0901917,0.0001299,0.4696583,3.5486414,-0.3222129,0.0001325
face,0.5046861,0.5668561,-1.3997412,0.9993151,0.5403535,0.4891306,-1.3043833,0.9989651,0.5631675,0.4920820,-1.3049498,0.9991547,0.5821894,0.4957194,-1.3050606,0.9989058,0.4647784,0.4915428,-1.3154089,0.9989380,0.4400333,0.4949374,-1.3152368,0.9991845,0.4195603,0.5002641,-1.3158743,0.9990087,0.6140345,0.5456726,-0.7357409,0.9991030,0.3947504,0.5491101,-0.7703045,0.9992971,0.5528380,0.6606944,-1.1881921,0.9991431,0.4663418,0.6578925,-1.2000743,0.9992776,0.7607470,0.9860706,-0.4427382,0.9834971,0.2503321,0.9550709,-0.4884614,0.9851577,0.8905476,1.3835007,-0.6720078,0.0544395,0.1374013,1.4113253,-0.7474138,0.1842201,0.8237007,1.5929784,-1.2561297,0.0158841,0.2331299,1.5419885,-1.5864122,0.0336386,0.8215972,1.6872768,-1.4113984,0.0234530,0.2488683,1.6341318,-1.7836249,0.0446782,0.7808892,1.6460167,-1.4497896,0.0393869,0.2767202,1.5886480,-1.8166977,0.0721882,0.7742446,1.6085359,-1.2969164,0.0387860,0.2758391,1.5540175,-1.6310797,0.0692722,0.6836978,1.9166542,-0.0698314,0.0007924,0.3361457,1.9270035,0.0754033,0.0007067,0.6904383,2.6632521,-0.0285409,0.0015783,0.3739828,2.6630821,0.0275461,0.0006732,0.7113551,3.3488610,0.7277622,0.0001415,0.4042769,3.3411784,0.5532924,0.0000408,0.7206133,3.4608488,0.7562537,0.0001002,0.4029012,3.4522521,0.5786344,0.0000754,0.6608313,3.5620682,-0.0156940,0.0001625,0.4583610,3.5486903,-0.2245035,0.0001847
face,0.5001386,0.5654464,-1.3471192,0.9992786,0.5375715,0.4886838,-1.2576313,0.9989488,0.5609676,0.4918518,-1.2580681,0.9991196,0.5802239,0.4956205,-1.2583497,0.9988723,0.4618787,0.4910595,-1.2797871,0.9989356,0.4378890,0.4945384,-1.2787814,0.9991731,0.4182385,0.4997056,-1.2794513,0.9990093,0.6131950,0.5456864,-0.6976631,0.9990813,0.3947289,0.5487167,-0.7581334,0.9992846,0.5505041,0.6598879,-1.1361930,0.9990863,0.4629731,0.6555302,-1.1527208,0.9992335,0.7597322,0.9873705,-0.4191666,0.9777420,0.2522739,0.9552448,-0.4346484,0.9814448,0.9054856,1.3319263,-0.8222734,0.0581733,0.1497740,1.4047456,-0.7044574,0.1736913,0.6757783,1.1228369,-1.3994901,0.0200501,0.2484676,1.5300467,-1.5044477,0.0324765,0.7403267,1.3063929,-1.5473688,0.0281243,0.2619600,1.6122551,-1.7664934,0.0435010,0.7089517,1.2572306,-1.5137281,0.0450506,0.2915619,1.5662616,-1.6805319,0.0699882,0.7108046,1.2566608,-1.4107136,0.0437903,0.2916302,1.5343167,-1.5843160,0.0672137,0.6846092,1.9235717,-0.0872550,0.0008733,0.3378473,1.9320638,0.0925803,0.0007694,0.6912872,2.6699893,-0.0414276,0.0019955,0.3772438,2.6741178,0.1132968,0.0008477,0.7152655,3.3488994,0.6810266,0.0001826,0.4093736,3.3413396,0.6039366,0.0000526,0.7276454,3.4609745,0.7068614,0.0001153,0.4089127,3.4507878,0.6266695,0.0000963,0.6613065,3.5612390,-0.0481539,0.0002069,0.4580161,3.5489056,-0.1341668,0.0002549
face,0.5013026,0.5658681,-1.4160253,0.9991778,0.5376426,0.4887045,-1.3191985,0.9988920,0.5609890,0.4919265,-1.3197176,0.9990463,0.5802028,0.4957488,-1.3198050,0.9987970,0.4619384,0.4910678,-1.3279451,0.9988885,0.4379350,0.4946348,-1.3276523,0.9991155,0.4182731,0.4998765,-1.3282329,0.9989586,0.6124030,0.5460997,-0.7456453,0.9990431,0.3947287,0.5503006,-0.7684193,0.9992145,0.5510907,0.6609378,-1.2028620,0.9989758,0.4642848,0.6556234,-1.2105643,0.9991284,0.7601974,0.9913760,-0.4961324,0.9725135,0.2522345,0.9594898,-0.4443522,0.9737971,0.9163960,1.3261627,-1.0041244,0.0661460,0.1508566,1.4049649,-0.8709766,0.1643165,0.6476702,1.0886482,-1.6488159,0.0256491,0.2574345,1.4331136,-1.7969096,0.0323988,0.7174635,1.2765185,-1.8073040,0.0343311,0.2784109,1.4702431,-1.9935955,0.0435563,0.6893227,1.2228793,-1.7664648,0.0525979,0.2979752,1.4172934,-1.9681089,0.0693900,0.6929711,1.2259587,-1.6566908,0.0498133,0.2983058,1.4042358,-1.8255991,0.0662192,0.6855314,1.9355755,-0.0936950,0.0010481,0.3399681,1.9425702,0.0988936,0.0009054,0.6910341,2.6776538,-0.0052633,0.0034798,0.3808374,2.6756532,0.0866882,0.0013405,0.7138009,3.3489783,0.7443740,0.0002972,0.4105928,3.3401098,0.6217219,0.0000850,0.7251265,3.4610572,0.7714523,0.0001608,0.4116837,3.4467661,0.6470901,0.0001438,0.6609887,3.5602691,0.0030758,0.0003257,0.4536098,3.5443845,-0.1308386,0.0004228
face,0.5010570,0.5646849,-1.3671452,0.9990682,0.5372363,0.4882885,-1.2742600,0.9988310,0.5604774,0.4913985,-1.2747620,0.9989776,0.5796736,0.4953216,-1.2749044,0.9987265,0.4610313,0.4910650,-1.2838862,0.9988226,0.4365990,0.4948641,-1.2834575,0.9990382,0.4169299,0.5003366,-1.2840470,0.9988744,0.6116071,0.5457674,-0.7181612,0.9990088,0.3934753,0.5510997,-0.7440924,0.9991115,0.5509995,0.6607496,-1.1596992,0.9988450,0.4639515,0.6556353,-1.1679714,0.9989664,0.7598127,0.9920580,-0.4847143,0.9665963,0.2519229,0.9607471,-0.3983826,0.9620675,0.9104625,1.3268661,-0.9848833,0.0709587,0.1500822,1.3906912,-0.7846407,0.1524222,0.6488796,1.0931544,-1.5526748,0.0314835,0.2532355,1.3538029,-1.6679742,0.0313156,0.6863471,1.2357023,-1.6876602,0.0407104,0.2741769,1.3731978,-1.8366514,0.0423826,0.6623672,1.1823368,-1.6352571,0.0604441,0.2901797,1.3261836,-1.7000713,0.0670701,0.6108513,1.0208333,-1.5521631,0.0560652,0.2914698,1.3199809,-1.7584734,0.0638294,0.6849917,1.9443228,-0.1066425,0.0011318,0.3394690,1.9475482,0.1117108,0.0009524,0.6902493,2.6863816,-0.0160511,0.0044941,0.3781685,2.6831274,0.1476453,0.0016624,0.7111059,3.3532491,0.7213653,0.0003955,0.4054537,3.3412182,0.6828427,0.0001077,0.7218643,3.4639771,0.7486320,0.0001937,0.4058457,3.4468338,0.7095412,0.0001777,0.6578475,3.5618112,-0.0094952,0.0004171,0.4490727,3.5447650,-0.0462765,0.0005528
face,0.5010374,0.5644253,-1.3643496,0.9989140,0.5372227,0.4882778,-1.2724283,0.9987350,0.5604349,0.4913638,-1.2729131,0.9988749,0.5796579,0.4953181,-1.2730060,0.9986135,0.4609124,0.4912266,-1.2743005,0.9987271,0.4362398,0.4953943,-1.2740053,0.9989315,0.4164207,0.5009985,-1.2745212,0.9987546,0.6116790,0.5460094,-0.7218457,0.9989564,0.3928373,0.5527779,-0.7305253,0.9989595,0.5509690,0.6608121,-1.1591842,0.9986532,0.4637775,0.6556897,-1.1591625,0.9987281,0.7610372,0.9921731,-0.5177772,0.9597947,0.2521118,0.9660097,-0.3862426,0.9495929,0.9068404,1.3256017,-1.1009741,0.0818139,0.1496232,1.3812282,-0.9058299,0.1437860,0.6188794,1.0565223,-1.6182188,0.0399093,0.2688321,1.2567309,-1.8291616,0.0318135,0.6375429,1.1645757,-1.7418225,0.0487046,0.2987154,1.2389976,-1.9954586,0.0425876,0.6219880,1.1140887,-1.6631467,0.0699323,0.3053501,1.1975392,-1.9149059,0.0664190,0.5934679,0.9714528,-1.6041720,0.0632364,0.3058185,1.2083129,-1.8408000,0.0627892,0.6882442,1.9556795,-0.1099366,0.0013788,0.3479905,1.9568119,0.1147318,0.0011392,0.6933311,2.6946225,-0.0021569,0.0074947,0.3891425,2.6855562,0.1362747,0.0025451,0.7192112,3.3575149,0.7486144,0.0006255,0.4206752,3.3416033,0.6810578,0.0001593,0.7309209,3.4673607,0.7772756,0.0002752,0.4244061,3.4467583,0.7077556,0.0002495,0.6682554,3.5634065,0.0219550,0.0005985,0.4525895,3.5448670,-0.0434111,0.0007904
face,0.5010865,0.5629982,-1.3522315,0.9984983,0.5371171,0.4879310,-1.2607685,0.9984181,0.5602492,0.4911238,-1.2612575,0.9985760,0.5794030,0.4952126,-1.2613536,0.9982786,0.4611166,0.4902128,-1.2631576,0.9983935,0.4366121,0.4944237,-1.2628305,0.9986044,0.4166822,0.4998367,-1.2633616,0.9983792,0.6117390,0.5463130,-0.7109530,0.9987642,0.3931613,0.5527487,-0.7172513,0.9985322,0.5510767,0.6607793,-1.1470544,0.9982296,0.4646983,0.6548948,-1.1480678,0.9982294,0.7619056,0.9904041,-0.4948187,0.9534978,0.2519842,0.9650917,-0.3787362,0.9353877,0.9069849,1.3300302,-1.0881541,0.0921024,0.1497488,1.3710651,-0.9643105,0.1358134,0.6144380,1.0675299,-1.6421959,0.0510267,0.2798233,1.2420126,-1.9637556,0.0333739,0.6426621,1.1566907,-1.7703152,0.0596883,0.3111293,1.2248539,-2.1445022,0.0440360,0.6270529,1.1021775,-1.6908219,0.0831800,0.3162750,1.1815124,-2.0766523,0.0675585,0.5911011,0.9841888,-1.6282362,0.0734009,0.3172156,1.1932105,-1.9723688,0.0632244,0.6883844,1.9508445,-0.1040968,0.0015299,0.3481831,1.9513420,0.1090353,0.0012485,0.6928285,2.6931393,-0.0110967,0.0099458,0.3876825,2.6847076,0.1323951,0.0032156,0.7167810,3.3574998,0.7270289,0.0008145,0.4170034,3.3387425,0.6166846,0.0001930,0.7281224,3.4666381,0.7556721,0.0003514,0.4198214,3.4423637,0.6383030,0.0002932,0.6658173,3.5634444,-0.0046332,0.0007560,0.4503905,3.5387435,-0.1384967,0.0009607
face,0.5054836,0.5601333,-1.4020152,0.9983717,0.5412455,0.4872475,-1.3049197,0.9982726,0.5631056,0.4907283,-1.3055221,0.9984101,0.5822594,0.4950882,-1.3056781,0.9980971,0.4665042,0.4877569,-1.3117312,0.9982839,0.4416333,0.4914241,-1.3115630,0.9985023,0.4202102,0.4962889,-1.3122536,0.9983025,0.6148799,0.5466944,-0.7393960,0.9985790,0.3953327,0.5508550,-0.7596100,0.9984563,0.5526199,0.6596181,-1.1910235,0.9980781,0.4669922,0.6524406,-1.1985393,0.9981738,0.7620444,0.9901961,-0.4772873,0.9487742,0.2519501,0.9640272,-0.4355855,0.9347464,0.9175767,1.3340875,-0.9332584,0.0915216,0.1548616,1.3897268,-0.7884716,0.1282709,0.7378208,1.2695395,-1.5461401,0.0492603,0.2727298,1.5435698,-1.6281147,0.0321467,0.6984389,1.2213904,-1.7096965,0.0588259,0.3043139,1.6349623,-1.8295189,0.0431224,0.6692694,1.2055868,-1.6942470,0.0821398,0.3079989,1.5845184,-1.8761902,0.0663067,0.6697048,1.1702893,-1.5652674,0.0724437,0.3105358,1.5479329,-1.6768334,0.0619276,0.6882650,1.9494022,-0.1031528,0.0015395,0.3475759,1.9487834,0.1081334,0.0012640,0.6922381,2.6888621,-0.0730504,0.0101607,0.3860836,2.6743927,-0.0405191,0.0032938,0.7152392,3.3545711,0.6028442,0.0008096,0.4144315,3.3345273,0.4117750,0.0001986,0.7262272,3.4646568,0.6249605,0.0003519,0.4161803,3.4398808,0.4283873,0.0002997,0.6639444,3.5599744,-0.1363338,0.0007715,0.4516868,3.5334673,-0.3526989,0.0009865
face,0.5163455,0.5626463,-1.4431691,0.9981235,0.5516042,0.4893335,-1.3414850,0.9980650,0.5714173,0.4940197,-1.3420410,0.9981805,0.5909258,0.4998780,-1.3420684,0.9978493,0.4813283,0.4877599,-1.3525376,0.9981124,0.4549690,0.4911720,-1.3525083,0.9983259,0.4318558,0.4957024,-1.3531773,0.9981426,0.6211343,0.5547111,-0.7530077,0.9983963,0.4003326,0.5498112,-0.7952369,0.9983290,0.5555600,0.6642351,-1.2217003,0.9977250,0.4719860,0.6548997,-1.2367346,0.9979479,0.7615566,0.9897720,-0.4847650,0.9402876,0.2487747,0.9614599,-0.4349881,0.9268928,0.9148484,1.3313615,-0.9937904,0.0988116,0.1561178,1.3888122,-0.7700666,0.1204758,0.6410031,1.1066118,-1.6440722,0.0528555,0.2702820,1.4699132,-1.5730938,0.0313109,0.6716712,1.2159108,-1.7985157,0.0637968,0.2967592,1.5219857,-1.7500635,0.0427486,0.6535989,1.1674653,-1.7499813,0.0880617,0.3060748,1.4639163,-1.7522342,0.0653994,0.6074504,1.0505004,-1.6484979,0.0768864,0.3076057,1.4455394,-1.6046426,0.0607371,0.6862527,1.9479425,-0.1015486,0.0016168,0.3464094,1.9477634,0.1065915,0.0013211,0.6895357,2.6842804,-0.1768664,0.0108711,0.3852412,2.6574323,-0.2385711,0.0034929,0.7149943,3.3519144,0.4431393,0.0008049,0.4125234,3.3286004,0.1815108,0.0002079,0.7245930,3.4620175,0.4580546,0.0003575,0.4142284,3.4351137,0.1916668,0.0003077,0.6625675,3.5585132,-0.3131420,0.0008123,0.4505352,3.5278299,-0.6002311,0.0010588
face,0.5211571,0.5641034,-1.4305358,0.9977514,0.5565574,0.4907484,-1.3301834,0.9977980,0.5755911,0.4961216,-1.3307413,0.9978995,0.5952071,0.5027696,-1.3307707,0.9975644,0.4878114,0.4877636,-1.3387603,0.9978643,0.4609292,0.4909811,-1.3387501,0.9980604,0.4371343,0.4952375,-1.3393794,0.9978848,0.6245750,0.5592164,-0.7462085,0.9982107,0.4031211,0.5489485,-0.7787200,0.9980840,0.5571012,0.6667687,-1.2108401,0.9971906,0.4744372,0.6562820,-1.2227793,0.9974815,0.7606792,0.9895337,-0.4971158,0.9308374,0.2476282,0.9610108,-0.4040768,0.9136500,0.9139730,1.3261176,-1.0466632,0.1066631,0.1575839,1.3822916,-0.7691573,0.1127040,0.6193911,1.0834277,-1.6687559,0.0562720,0.2767399,1.3366501,-1.5793450,0.0303779,0.6498606,1.1979625,-1.8110222,0.0682629,0.3078859,1.3445383,-1.7550023,0.0421047,0.6365153,1.1455579,-1.7538061,0.0933254,0.3111372,1.2910466,-1.7437971,0.0640013,0.5924289,0.9981959,-1.6671941,0.0806696,0.3106213,1.2911010,-1.6076500,0.0591113,0.6853174,1.9491260,-0.0999502,0.0016765,0.3460104,1.9488323,0.1051446,0.0013607,0.6889645,2.6765103,-0.2309530,0.0115020,0.3846543,2.6408906,-0.2738945,0.0037073,0.7139137,3.3477106,0.3759564,0.0007967,0.4136206,3.3213155,0.1354712,0.0002183,0.7235357,3.4587240,0.3896008,0.0003594,0.4173085,3.4282012,0.1448568,0.0003177,0.6633073,3.5512700,-0.3769443,0.0008454,0.4496635,3.5201051,-0.6349573,0.0011315
face,0.5432101,0.5680453,-1.4745005,0.9974108,0.5861773,0.4986691,-1.3701354,0.9975837,0.6068959,0.5077224,-1.3707541,0.9976552,0.6289111,0.5175722,-1.3707930,0.9973227,0.5190274,0.4878965,-1.3825171,0.9976791,0.4913529,0.4903200,-1.3827358,0.9978471,0.4654302,0.4926411,-1.3834032,0.9976952,0.6531103,0.5763229,-0.7664662,0.9980157,0.4209114,0.5411289,-0.8227075,0.9979476,0.5680317,0.6710506,-1.2469689,0.9965215,0.4875492,0.6562698,-1.2664373,0.9970561,0.7600123,0.9910571,-0.5254211,0.9174879,0.2460307,0.9530957,-0.4054027,0.9028878,0.9104414,1.3282645,-1.0792160,0.1152296,0.1576634,1.3647736,-0.7552488,0.1061470,0.6373528,1.0717869,-1.7535725,0.0584782,0.2898569,1.2389450,-1.5046816,0.0292617,0.6664850,1.1929481,-1.8939575,0.0719500,0.3323296,1.2259300,-1.6457176,0.0413595,0.6423569,1.1359191,-1.8363707,0.0974389,0.3278114,1.1709368,-1.5973516,0.0622858,0.6113182,0.9859983,-1.7517376,0.0831465,0.3230534,1.1803051,-1.5118147,0.0572252,0.6741549,1.9517881,-0.1022808,0.0017749,0.3389974,1.9496205,0.1076497,0.0014874,0.6880051,2.6029422,-0.4039101,0.0116292,0.3376394,2.5815022,-0.5327578,0.0041047,0.7077370,3.2955015,0.2047973,0.0007606,0.4105477,3.2740254,-0.0812356,0.0002380,0.7113404,3.4109099,0.2199734,0.0003461,0.4163462,3.3765607,-0.0666874,0.0003296,0.6627396,3.4978814,-0.5201352,0.0008635,0.4435953,3.4760399,-0.8165811,0.0011948
face,0.5842689,0.5680376,-1.5319709,0.9969051,0.6304418,0.5004142,-1.4219214,0.9971825,0.6546570,0.5095482,-1.4225124,0.9971935,0.6771578,0.5192924,-1.4225088,0.9968174,0.5635175,0.4879021,-1.4445097,0.9973733,0.5361365,0.4894682,-1.4447371,0.9975346,0.5086178,0.4898438,-1.4454151,0.9974102,0.6912382,0.5774975,-0.7963392,0.9974903,0.4487629,0.5346584,-0.9061900,0.9977299,0.5970455,0.6710272,-1.2969694,0.9953796,0.5223807,0.6546947,-1.3318554,0.9964933,0.7606884,0.9916529,-0.5436605,0.8961008,0.2473551,0.9494241,-0.4362059,0.8904489,0.8967101,1.3295377,-1.0259794,0.1184841,0.1634317,1.3428153,-0.6106693,0.0990533,0.6423187,1.0752971,-1.6794097,0.0584857,0.2949521,1.2641474,-1.2092056,0.0276692,0.6665542,1.1853077,-1.8189005,0.0732016,0.3370866,1.2732271,-1.3296511,0.0398862,0.6500512,1.1265720,-1.7690933,0.0986405,0.3314866,1.2155737,-1.3046716,0.0598206,0.6193222,1.0687283,-1.6808646,0.0834498,0.3255178,1.2147559,-1.2195189,0.0547208,0.6677891,1.9491231,-0.1005217,0.0017246,0.3342960,1.9403249,0.1059264,0.0014482,0.6660684,2.5767007,-0.3380863,0.0113290,0.3160824,2.5267413,-0.4535791,0.0041996,0.6832274,3.2493320,0.3170898,0.0007151,0.3898917,3.2045832,0.0337853,0.0002440,0.6849512,3.3616183,0.3366902,0.0003272,0.3965374,3.3030436,0.0511091,0.0003287,0.6494657,3.4510577,-0.4021736,0.0008529,0.4263313,3.4137952,-0.7085294,0.0012175
